,created_at,id_str,text,longitude,latitude
177,2019-09-26 16:09:43,1.1772539284818289e+18,"Check out some of our highlights from last Saturday's Family #photographyworkshop in Hyde Park, London, run by Pro… https://t.co/BAhwkqX1W8",-0.16324997,51.50707303
179,2019-09-26 16:08:55,1.177253725481689e+18,"I'm at Hyde Park Hobbit Hole in Kansas City, MO https://t.co/aRfkYMYbph",-94.57731698,39.05155488
181,2019-09-26 16:08:37,1.177253650768507e+18,"I'm at Historic Hyde Park in Kansas City, MO https://t.co/MpT6I8Aid3",-94.58185673,39.05993308
183,2019-09-26 14:59:59,1.177236378058285e+18,My fav shot from @bbcradio2 Live in Hyde Park as featured in @MusicWeek it's petshopboys their manager Angela Becke… https://t.co/aq2YGbpCNZ,-0.14369167,51.51840833
185,2019-09-26 11:59:23,1.1771909295281766e+18,Incident on #I495 EB at Exit 34 - New Hyde Park Road https://t.co/DkZRlMw0gY,-73.6917,40.7685
187,2019-09-26 9:56:36,1.177160030421799e+18,Just posted a photo @ Benugo Hyde Park https://t.co/knC6YnA2HM,-0.16016907,51.50499541
189,2019-09-26 7:44:12,1.1771267088828908e+18,I told you my dear @nathaneast : He gets better and better by age:This solo is so personal and I think it is better… https://t.co/dskx3FkViO,32.65175459,40.01888007
191,2019-09-26 7:41:14,1.1771259637061181e+18,The perfect end to a perfect day!! Thanks everyone for all the love and birthday wishes today!!! @ Historic Hyde Pa… https://t.co/ZdJB8DCQay,-97.73344820000001,30.29950266
193,2019-09-26 5:37:16,1.1770947661332234e+18,"I'm at Hyde Park Hobbit Hole in Kansas City, MO https://t.co/Wh9Q9lezRk",-94.57731698,39.05155488
195,2019-09-26 5:23:15,1.1770912384299418e+18,Friday 8pm Friends Hyde Park Tavern #livemusic #hydepark #pigsylive #jimmybarnes #inawesomecompany #inxs @ Hyde Par… https://t.co/kMVR59Znjx,138.60041,-34.95559
197,2019-09-26 3:39:31,1.1770651353342034e+18,Season change @ Hyde Park &amp; Lake Park https://t.co/5OK0FjPPBB,-87.58807577,41.8026502
199,2019-09-26 1:19:17,1.1770298450433393e+18,Construction on #NY61 SB from Hyde Park Boulevard; NY 61 to Highland Avenue https://t.co/dfWd5HeKDl,-79.037902,43.126598
201,2019-09-26 0:40:08,1.1770199912936817e+18,https://t.co/6FtzlqVfyk @nealcasal #celebration #enjoyyourtimehereonthisrock #forevergrateful #forevermissed… https://t.co/xLfOhMCSEn,-82.4756551,27.936468400000003
203,2019-09-25 21:27:30,1.1769715132090532e+18,Got a designer handbag just sitting in your closet? Put it to work with @TSUChicago’s special consignment offer thr… https://t.co/TRVp96piV4,-87.58373,41.79936
205,2019-09-25 20:54:13,1.1769631352673976e+18,His tongue is the equivalent to a human middle finger. He never wants his walks to end 🖕🏼#hispoordogwalker @ Hyde P… https://t.co/0i7H1oQmdV,-87.59,41.8
207,2019-09-25 20:28:41,1.1769567122652365e+18,"Starbucks is hiring in #Cincinnati, OH! Read about our latest #Retail job opening via the link in our bio: shift su… https://t.co/XBsKO9ZKG4",-84.42905090000001,39.1459329
209,2019-09-25 18:41:15,1.1769296737056768e+18,"I'm at Historic Hyde Park in Kansas City, MO https://t.co/5o5hhu2vI5",-94.58185673,39.05993308
211,2019-09-25 18:40:22,1.176929451659137e+18,"I'm at Hyde Park Hobbit Hole in Kansas City, MO https://t.co/JlO43IrXxF",-94.57731698,39.05155488
213,2019-09-25 18:06:24,1.176920904133206e+18,YOOOOOO!!! MUST-SEE BLACK MOVIES IS BACK WITH HORROR FILMS!!!! EVERY WEDS IN THE MONTH OF OCTOBER YOU CAN COME SEE… https://t.co/TZQuDZLxI6,-87.58948000000001,41.79979
215,2019-09-25 18:02:13,1.1769198537914204e+18,"19.9.2019 LAUNCHED... #chefnticookbook #mymordenafricankitchen 🎥: @ScottHurly @ Exclusive Books, Hyde Park https://t.co/XLrBANs83D",28.03365975,-26.12510063
217,2019-09-25 17:52:08,1.176917312663892e+18,"~
#t
#z
#tz
#atz
#a2z
#clean
#slate
#lace
#wit
#new
#news
#tune
#in
#space
#time
#∞
#@ @ Gallery Hyde Park https://t.co/pmXfY93Tx0",-0.1864277,51.5114937
219,2019-09-25 17:38:06,1.1769137811187016e+18,"I'm at Hyde Park - @theroyalparks in London, Greater London https://t.co/qjWqXAWihz https://t.co/q4c44B420Y",-0.16239166,51.50778088
221,2019-09-25 15:24:48,1.1768802383677932e+18,Cleared: Construction on #MainLine Both directions at New Hyde Park,-73.67987600000001,40.731217
223,2019-09-25 15:09:44,1.1768764458109993e+18,"I'm at Hyde Park - @theroyalparks in London, Greater London https://t.co/mElZpktaYf",-0.16239166,51.50778088
225,2019-09-25 15:04:05,1.176875022318592e+18,"Want to work at U.S. Bank? We're hiring in #Cincinnati, OH! Click the link in our bio for details on this job and m… https://t.co/4NP7eH4RZz",-84.5120196,39.103118200000004
227,2019-09-25 14:48:33,1.1768711163312046e+18,"Early morning training walk in the 🌧 Not much fun. But at least we have conkers 😅

#training #walking #memorywalk… https://t.co/FZVgoXG4M7",-0.16324997,51.50707303
229,2019-09-25 12:58:59,1.1768435413410038e+18,I love playing - and I love playing with Conkers! They are beautiful in form and feel @ Hyde Park https://t.co/mpsKYnhJPj,-0.16324997,51.50707303
231,2019-09-25 12:39:00,1.1768385120097116e+18,"2019-09-21 5:17 p.m. - An autumnal light beam in #HydeParkVillageVT #autumncolors @ Hyde Park, Vermont https://t.co/5RXUahKzOL",-72.61426,44.596470000000004
233,2019-09-25 11:24:30,1.1768197616841236e+18,"beautiful morning #hydeparkumc (@ Hyde Park United Methodist Church - @hydeparkumc in Tampa, FL)… https://t.co/xAqTSLBJfU",-82.46535301,27.94137472
235,2019-09-25 11:02:36,1.1768142531368632e+18,Griffith Midwifery girls 🖤💛♥️ #CATSINaM19 @ Sheraton Grand Sydney Hyde Park https://t.co/CFXjyCRuMY,151.2095869,-33.8714912
237,2019-09-25 8:33:38,1.1767767613439263e+18,"I'm at UFC Gym in New Hyde Park, NY https://t.co/IdAUgiUxpG",-73.67365028,40.73495979
239,2019-09-25 1:22:28,1.1766682570650337e+18,"I'm at Hyde Park Hobbit Hole in Kansas City, MO https://t.co/zqEnbQivhW",-94.57731698,39.05155488
241,2019-09-24 23:30:22,1.1766400442467656e+18,If you haven’t had a chance to see my pure happiness face—here it is. London you’re a dream 🏴󠁧󠁢󠁥󠁮󠁧󠁿(this was suppos… https://t.co/u5vaDY8lAp,-0.16324997,51.50707303
243,2019-09-24 23:22:23,1.1766380349990134e+18,"SS Fall Festival with my dad, noah.r30 and allancoy23 ✊🏼 @ Hyde Park https://t.co/q4M1QU6CxF",-94.85204837,39.71161061
245,2019-09-24 19:28:27,1.1765791668812431e+18,"You know the vibess 🍑 @ Hyde Park, Massachusetts https://t.co/VcPxQsjlAc",-71.12395,42.25643
247,2019-09-24 19:11:47,1.1765749692596797e+18,Little Brothers vs. Big Brothers: The adult edition. 😂 @ Hyde Park – Kenwood Historic District https://t.co/f6N6IJOdE4,-87.5975,41.7989
249,2019-09-24 18:22:31,1.176562573057151e+18,"Nature🦋 @ Hyde Park, London https://t.co/Xu7Rwp2sdp",-0.16964389,51.50732694
251,2019-09-24 18:18:59,1.1765616829839155e+18,SAT | OCT | 12 at thehydeparkcafe @ The Hyde Park Cafe https://t.co/JJcyYgJ1zZ,-82.47819,27.94173
253,2019-09-24 17:31:00,1.176549606605435e+18,Filtered 💁🏻‍♀️ #justme #chicagogirl #chigirl #justagirlfromthechi #boricua #scfilter #snapchat👻 #filters @ Hyde Par… https://t.co/rrsoF6H3hj,-87.59,41.8
255,2019-09-24 17:25:20,1.1765481826727813e+18,This is my kitty niece Figgie Smalls. She's rilezruffsyou and she's one of 4 kitties in my life that puts up with t… https://t.co/r58bkaxJcE,-82.4756551,27.936468400000003
257,2019-09-24 17:24:06,1.176547871354757e+18,"I'm at Hyde Park - @theroyalparks in London, Greater London https://t.co/wAY871omJ2",-0.16239166,51.50778088
259,2019-09-24 15:02:55,1.176512341011239e+18,Couldn’t “wish” for a more beautiful day in Tampa! Come check out Hyde Park and other Tampa landmarks on one of our… https://t.co/IvbWiJAJlp,-82.4756551,27.936468400000003
261,2019-09-24 14:52:33,1.1765097337144525e+18,Incident on #MainLine at New Hyde Park https://t.co/T1UlvoCyDR,-73.680582,40.730949
263,2019-09-24 14:45:36,1.1765079840647823e+18,"A special thank you to @lesleymofokeng for bringing my stories to life 🤩❤️🥂 ph: @RageInc_ @ Exclusive Books, Hyde P… https://t.co/pZhiCEgQSV",28.03365975,-26.12510063
265,2019-09-24 13:38:00,1.1764909733140726e+18,"I'm at Historic Hyde Park in Kansas City, MO https://t.co/dSFHzuw8Ew",-94.58185673,39.05993308
267,2019-09-24 13:37:15,1.1764907831401964e+18,"I'm at Hyde Park Hobbit Hole in Kansas City, MO https://t.co/VXQjuZdBpU",-94.57731698,39.05155488
269,2019-09-24 12:54:55,1.1764801315835453e+18,"I'm at UFC Gym in New Hyde Park, NY https://t.co/wdVzOshVAn",-73.67365028,40.73495979
271,2019-09-24 11:08:45,1.1764534098489098e+18,London .. I like you @ Hyde Park https://t.co/9ZcfhsjZkS,-0.16324997,51.50707303
273,2019-09-24 11:05:36,1.1764526185641329e+18,"Just posted a photo @ Hyde Park, Jacksonville West https://t.co/tv4cmOADic",-81.75826406,30.28525142
275,2019-09-24 8:27:42,1.1764128803858432e+18,"If you live in Hyde Park, ROSLINDALE or Mattapan vote for our friend Ricardo Arroyo Today!!! Tuesday, September 24t… https://t.co/x3Ac2t0M47",-71.05799,42.36033
